species,year,source,SumOftotal
LSPN,2009,COM,11
LSPN,2011,COM,3
LSPN,2012,COM,40
LCOD,2019,COM,113
MXRF,1985,COM,4
MXRF,1986,COM,2
MXRF,2012,COM,1
MXRF,2013,COM,4
MXRF,2014,COM,19
MXRF,2015,COM,17
MXRF,2016,COM,23
MXRF,2017,COM,3
MXRF,2018,COM,25
OLVE,1978,COM,3
OLVE,1982,COM,2
OLVE,1983,COM,4
OLVE,1984,COM,6
OLVE,1985,COM,35
OLVE,1986,COM,23
OLVE,1987,COM,3
OLVE,2005,COM,26
OLVE,2006,COM,13
OLVE,2007,COM,16
OLVE,2012,COM,6
OLVE,2021,COM,1
PDAB,2003,COM,409
PDAB,2004,COM,72
PDAB,2005,COM,112
PDAB,2006,COM,184
PDAB,2007,COM,770
PDAB,2008,COM,860
PDAB,2010,COM,60
PDAB,2012,COM,5
PDAB,2016,COM,80
PNKR,1983,COM,2
PNKR,1985,COM,32
PNKR,1986,COM,3
PNKR,2001,COM,1
PNKR,2003,COM,3
PNKR,2004,COM,8
PNKR,2012,COM,1
PNKR,2013,COM,1
PNKR,2015,COM,19
PNKR,2016,COM,11
PNKR,2017,COM,8
POP,1977,COM,255
POP,1978,COM,211
POP,1979,COM,7
POP,1980,COM,43
POP,1981,COM,2
POP,1982,COM,133
POP,1983,COM,341
POP,1984,COM,186
POP,1985,COM,277
POP,1986,COM,5
POP,1998,COM,1
POP,2000,COM,4
POP,2002,COM,28
POP,2003,COM,5
POP,2004,COM,10
POP,2005,COM,3
POP,2006,COM,63
POP,2007,COM,14
POP,2008,COM,35
POP,2009,COM,60
POP,2010,COM,26
POP,2011,COM,60
POP,2012,COM,26
POP,2013,COM,32
POP,2014,COM,20
POP,2015,COM,48
POP,2016,COM,84
POP,2017,COM,30
PTRL,1960,COM,40
PTRL,1961,COM,475
PTRL,1962,COM,456
PTRL,1963,COM,275
PTRL,1965,COM,1
PTRL,1966,COM,696
PTRL,1967,COM,760
PTRL,1968,COM,1818
PTRL,1969,COM,700
PTRL,1970,COM,978
PTRL,1971,COM,264
PTRL,1972,COM,451
PTRL,1973,COM,256
PTRL,1974,COM,378
PTRL,1975,COM,925
PTRL,1976,COM,1952
PTRL,1977,COM,2302
PTRL,1978,COM,1100
PTRL,1979,COM,150
PTRL,1980,COM,2445
PTRL,1981,COM,2831
PTRL,1982,COM,1877
PTRL,1983,COM,1070
PTRL,1984,COM,1048
PTRL,1985,COM,1175
PTRL,1986,COM,2274
PTRL,1987,COM,375
PTRL,1988,COM,175
PTRL,1990,COM,200
PTRL,1991,COM,200
PTRL,1993,COM,90
PTRL,2003,COM,196
PTRL,2004,COM,273
PTRL,2005,COM,274
PTRL,2006,COM,206
PTRL,2007,COM,177
PTRL,2008,COM,403
PTRL,2009,COM,78
PTRL,2010,COM,6
PTRL,2011,COM,239
PTRL,2012,COM,154
PTRL,2013,COM,148
PTRL,2014,COM,97
PTRL,2016,COM,176
PTRL,2017,COM,166
QLBK,1977,COM,12
QLBK,1980,COM,4
QLBK,1985,COM,5
QLBK,2004,COM,4
QLBK,2007,COM,27
QLBK,2011,COM,1
QLBK,2012,COM,4
RBDB,2016,COM,2
RDBD,1977,COM,152
RDBD,1978,COM,30
RDBD,1979,COM,19
RDBD,1980,COM,34
RDBD,1981,COM,48
RDBD,1982,COM,27
RDBD,1983,COM,115
RDBD,1985,COM,342
RDBD,1986,COM,5
RDBD,2001,COM,9
RDBD,2002,COM,53
RDBD,2003,COM,44
RDBD,2004,COM,11
RDBD,2005,COM,52
RDBD,2006,COM,141
RDBD,2007,COM,110
RDBD,2008,COM,118
RDBD,2009,COM,51
RDBD,2010,COM,115
RDBD,2011,COM,280
RDBD,2012,COM,92
RDBD,2013,COM,100
RDBD,2014,COM,54
RDBD,2015,COM,141
RDBD,2016,COM,148
RDBD,2017,COM,45
REDS,1977,COM,2
REDS,1980,COM,1
REDS,1981,COM,1
REDS,1982,COM,5
REDS,1983,COM,42
REDS,1984,COM,8
REDS,1985,COM,28
REDS,1986,COM,26
REX,1975,COM,50
REX,1979,COM,25
REX,1983,COM,25
REX,2002,COM,26
REX,2003,COM,162
REX,2004,COM,52
REX,2005,COM,63
REX,2006,COM,94
REX,2007,COM,80
REX,2008,COM,302
REX,2009,COM,118
REX,2010,COM,2
REX,2011,COM,235
REX,2012,COM,172
REX,2013,COM,37
REX,2014,COM,12
REX,2015,COM,11
REX,2016,COM,153
REX,2017,COM,40
REYE,1985,COM,1
REYE,1987,COM,1
REYE,2001,COM,1
REYE,2002,COM,16
REYE,2003,COM,11
REYE,2004,COM,1
REYE,2005,COM,56
REYE,2006,COM,5
REYE,2007,COM,9
REYE,2008,COM,26
REYE,2009,COM,68
REYE,2010,COM,28
REYE,2011,COM,42
REYE,2012,COM,24
REYE,2013,COM,29
REYE,2014,COM,7
REYE,2015,COM,16
REYE,2016,COM,27
REYE,2017,COM,20
ROSY,1980,COM,104
ROSY,1981,COM,19
ROSY,1984,COM,14
ROSY,1985,COM,25
ROSY,1986,COM,3
ROSY,2016,COM,2
RSOL,2003,COM,2
RSOL,2008,COM,93
RSOL,2013,COM,12
RSTN,1977,COM,6
RSTN,1978,COM,1
RSTN,1982,COM,7
RSTN,1983,COM,56
RSTN,1984,COM,34
RSTN,1985,COM,46
RSTN,1986,COM,3
RSTN,2004,COM,1
RSTN,2005,COM,9
RSTN,2006,COM,1
RSTN,2010,COM,2
RSTN,2012,COM,30
RSTN,2013,COM,3
RSTN,2014,COM,1
RSTN,2015,COM,15
RSTN,2017,COM,4
SBLY,1978,COM,2
SBLY,1979,COM,30
SBLY,1980,COM,1
SBLY,1982,COM,2
SBLY,1983,COM,8
SBLY,1984,COM,1
SBLY,1985,COM,69
SBLY,1986,COM,1
SBLY,2002,COM,9
SBLY,2003,COM,1
SBLY,2004,COM,9
SBLY,2008,COM,2
SBLY,2009,COM,1
SBLY,2016,COM,12
SHRP,1977,COM,14
SHRP,1979,COM,3
SHRP,1982,COM,13
SHRP,1983,COM,135
SHRP,1984,COM,90
SHRP,1985,COM,224
SHRP,1986,COM,26
SHRP,1991,COM,1
SHRP,2001,COM,1
SHRP,2002,COM,2
SHRP,2005,COM,27
SHRP,2007,COM,2
SHRP,2013,COM,4
SHRP,2014,COM,10
SHRP,2015,COM,2
SLGR,1977,COM,2
SLGR,1979,COM,1
SLGR,1984,COM,3
