Common_name,Year,sexed_fish,unsexed_fish,lengthed,aged_fish,unread_otoliths
rougheye and blackspotted rockfish,2009,126,0,126,91,5
rougheye and blackspotted rockfish,2010,89,0,89,88,1
rougheye and blackspotted rockfish,2011,115,0,115,109,6
rougheye and blackspotted rockfish,2012,85,2,87,79,6
rougheye and blackspotted rockfish,2013,67,1,68,0,68
rougheye and blackspotted rockfish,2014,40,2,42,0,23
rougheye and blackspotted rockfish,2015,182,3,185,0,174
rougheye and blackspotted rockfish,2016,103,2,105,0,105
rougheye and blackspotted rockfish,2017,165,3,168,0,124
rougheye and blackspotted rockfish,2018,97,0,97,0,97
rougheye and blackspotted rockfish,2019,57,1,58,0,58
sablefish,2003,5779,20,5799,1389,992
sablefish,2004,4536,4,4540,1086,1053
sablefish,2005,5543,24,5567,1575,1295
sablefish,2006,4831,2,4833,1363,1306
sablefish,2007,4461,10,4470,1259,857
sablefish,2008,3430,543,3973,1190,995
sablefish,2009,3659,29,3688,1181,669
sablefish,2010,3828,404,4232,1271,876
sablefish,2011,4624,50,4674,1193,600
sablefish,2012,4367,15,4381,1091,606
sablefish,2013,3146,134,3280,992,212
sablefish,2014,4337,7,4319,1200,600
sablefish,2015,4923,21,4910,1197,528
sablefish,2016,4425,119,4544,1213,256
sablefish,2017,4866,17,4883,1219,354
sablefish,2018,4780,5,4785,1482,11
sablefish,2019,2223,3,2226,874,10
sand sole,2003,79,0,79,0,0
sand sole,2004,29,0,29,0,0
sand sole,2005,31,0,31,0,0
sand sole,2006,11,1,12,0,0
sand sole,2007,37,0,37,0,0
sand sole,2008,62,0,62,0,62
sand sole,2009,48,0,48,0,38
sand sole,2010,93,0,93,0,93
sand sole,2011,123,0,123,0,122
sand sole,2012,37,0,37,0,34
sand sole,2013,47,0,47,0,43
sand sole,2014,50,0,50,0,50
sand sole,2015,74,0,74,0,0
sand sole,2016,26,0,26,0,0
sand sole,2017,83,0,83,0,0
sand sole,2018,36,0,36,0,0
sand sole,2019,42,0,42,0,42
sharpchin rockfish,2003,2351,5,2355,0,553
sharpchin rockfish,2004,1173,3,1176,0,199
sharpchin rockfish,2005,864,7,871,0,153
sharpchin rockfish,2006,1283,0,1283,0,239
sharpchin rockfish,2007,975,0,975,0,204
sharpchin rockfish,2008,919,4,923,0,365
sharpchin rockfish,2009,934,4,938,0,593
sharpchin rockfish,2010,568,6,574,0,381
sharpchin rockfish,2011,1304,3,1307,0,781
sharpchin rockfish,2012,954,43,997,0,478
sharpchin rockfish,2013,874,0,874,0,375
sharpchin rockfish,2014,1359,64,1421,0,606
sharpchin rockfish,2015,1052,41,1093,0,620
sharpchin rockfish,2016,844,10,854,0,501
sharpchin rockfish,2017,830,16,846,0,535
sharpchin rockfish,2018,720,3,723,0,437
sharpchin rockfish,2019,443,0,443,0,289
shortraker rockfish,2003,3,0,3,0,0
shortraker rockfish,2004,8,0,8,0,8
shortraker rockfish,2005,8,0,8,0,8
